date,team,rating,change
2025-12-13,Spain,2171.0,0
1974-09-04,West Germany,2144.0,2
2025-12-13,Argentina,2113.0,0
2025-12-13,France,2062.0,0
2025-12-13,England,2042.0,0
2025-12-13,Colombia,1998.0,0
2025-12-13,Brazil,1979.0,0
2025-12-13,Portugal,1976.0,0
2025-12-13,Netherlands,1959.0,0
2025-12-13,Croatia,1933.0,0
