Team,Played,Won,Draw,Lost,GF,GA,GD,Points
Spain,3,2,1,0,6,1,5,7
Uruguay,3,2,1,0,4,1,3,7
Saudi Arabia,3,1,0,2,3,5,-2,3
Cape Verde,3,0,0,3,2,8,-6,0
