Team,Played,Won,Draw,Lost,GF,GA,GD,Points
England,3,3,0,0,8,2,6,9
Croatia,3,2,0,1,7,4,3,6
Ghana,3,1,0,2,2,7,-5,3
Panama,3,0,0,3,2,6,-4,0
