Team,Played,Won,Draw,Lost,GF,GA,GD,Points
Australia,3,2,0,1,5,4,1,6
United States,3,1,1,1,4,4,0,4
Turkey,3,1,1,1,4,4,0,4
Paraguay,3,0,2,1,3,4,-1,2
