Team,Played,Won,Draw,Lost,GF,GA,GD,Points
Switzerland,3,3,0,0,6,3,3,9
Canada,3,2,0,1,5,4,1,6
Qatar,3,0,1,2,3,5,-2,1
Bosnia and Herzegovina,3,0,1,2,3,5,-2,1
