Team,Group,Position,Points,GD,GF,Third-place rank,Status
Scotland,C,3,5,1,4,1,Qualified
Sweden,F,3,5,1,4,2,Qualified
South Korea,A,3,4,0,4,3,Qualified
Turkey,D,3,4,0,4,4,Qualified
Ivory Coast,E,3,4,0,4,5,Qualified
Algeria,J,3,4,-2,4,6,Qualified
Uzbekistan,K,3,3,-2,4,7,Qualified
Saudi Arabia,H,3,3,-2,3,8,Qualified
Ghana,L,3,3,-5,2,9,Eliminated
New Zealand,G,3,2,-1,3,10,Eliminated
Norway,I,3,2,-1,3,11,Eliminated
Qatar,B,3,1,-2,3,12,Eliminated
