Team,Played,Won,Draw,Lost,GF,GA,GD,Points
Germany,3,3,0,0,10,2,8,9
Ecuador,3,1,1,1,5,3,2,4
Ivory Coast,3,1,1,1,4,4,0,4
Curaçao,3,0,0,3,1,11,-10,0
