Team,Played,Won,Draw,Lost,GF,GA,GD,Points
Argentina,3,3,0,0,11,3,8,9
Austria,3,1,1,1,5,6,-1,4
Algeria,3,1,1,1,4,6,-2,4
Jordan,3,0,0,3,3,8,-5,0
