Team,Played,Won,Draw,Lost,GF,GA,GD,Points
France,3,3,0,0,7,1,6,9
Senegal,3,1,1,1,3,4,-1,4
Norway,3,0,2,1,3,4,-1,2
Iraq,3,0,1,2,2,6,-4,1
