Team,Played,Won,Draw,Lost,GF,GA,GD,Points
Belgium,3,3,0,0,7,3,4,9
Iran,3,1,1,1,4,5,-1,4
New Zealand,3,0,2,1,3,4,-1,2
Egypt,3,0,1,2,3,5,-2,1
