Team,Played,Won,Draw,Lost,GF,GA,GD,Points
Brazil,3,1,2,0,8,3,5,5
Morocco,3,1,2,0,5,3,2,5
Scotland,3,1,2,0,4,3,1,5
Haiti,3,0,0,3,3,11,-8,0
