Team,Played,Won,Draw,Lost,GF,GA,GD,Points
Portugal,3,3,0,0,9,2,7,9
Colombia,3,2,0,1,5,4,1,6
Uzbekistan,3,1,0,2,4,6,-2,3
DR Congo,3,0,0,3,2,8,-6,0
